代码tx,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,代码
sh600000,浦发银行,10.1,-0.04,-0.394,10.09,10.1,10.14,10.1,10.14,10.01,43594496,438534236,15:00:01,600000
sh600004,白云机场,9.04,-0.02,-0.221,9.04,9.05,9.06,9.06,9.06,9.02,12975382,117269776,15:00:00,600004
sh600006,东风股份,7.41,-0.15,-1.984,7.41,7.42,7.56,7.5,7.54,7.37,31019592,230613224,15:00:01,600006
sh600007,中国国贸,23.35,-0.36,-1.518,23.35,23.36,23.71,23.65,23.65,23.26,1618800,37806207,15:00:01,600007
sh600008,首创环保,3.07,0.01,0.327,3.06,3.07,3.06,3.06,3.08,3.05,59956361,183837980,15:00:00,600008
sh600009,上海机场,32.14,-0.05,-0.155,32.14,32.15,32.19,32.19,32.21,32.06,6643259,213253460,15:00:01,600009
sh600010,包钢股份,1.86,0,0,1.85,1.86,1.86,1.86,1.87,1.83,369493506,681045867,15:00:00,600010
sh600011,华能国际,6.62,-0.04,-0.601,6.62,6.63,6.66,6.64,6.67,6.6,29946715,198481251,15:00:01,600011
sh600012,皖通高速,16.08,-0.09,-0.557,16.08,16.09,16.17,16.13,16.16,15.91,3703091,59429923,15:00:01,600012
sh600015,华夏银行,7.1,-0.08,-1.114,7.1,7.11,7.18,7.17,7.18,7.07,45644206,324646460,15:00:01,600015
sh600016,民生银行,4.1,-0.03,-0.726,4.1,4.11,4.13,4.13,4.13,4.08,155260604,636398709,15:00:01,600016
sh600017,日照港,3.01,0.02,0.669,3.01,3.02,2.99,2.99,3.02,2.98,28288900,85104761,15:00:01,600017
sh600018,上港集团,5.54,-0.02,-0.36,5.54,5.55,5.56,5.56,5.6,5.53,33989799,188892435,15:00:03,600018
sh600019,宝钢股份,7.38,-0.12,-1.6,7.38,7.39,7.5,7.52,7.52,7.31,77994476,575053509,15:00:00,600019
sh600020,中原高速,4.04,-0.06,-1.463,4.04,4.05,4.1,4.1,4.11,4.03,10421736,42237710,15:00:03,600020
sh600021,上海电力,8.89,0.09,1.023,8.88,8.89,8.8,8.81,8.92,8.78,31757834,281286764,15:00:03,600021
sh600022,山东钢铁,1.39,-0.02,-1.418,1.39,1.4,1.41,1.41,1.42,1.39,54197461,75986584,15:00:03,600022
sh600023,浙能电力,5.35,-0.02,-0.372,5.35,5.36,5.37,5.36,5.37,5.33,33886439,181203712,15:00:01,600023
sh600025,华能水电,8.69,-0.01,-0.115,8.68,8.69,8.7,8.71,8.78,8.66,26241078,228848483,15:00:01,600025
sh600026,中远海能,11.36,-0.17,-1.474,11.35,11.36,11.53,11.54,11.55,11.31,33019896,375902798,15:00:01,600026
sh600027,华电国际,5.28,-0.03,-0.565,5.28,5.29,5.31,5.3,5.31,5.21,60900446,321129441,15:00:01,600027
sh600028,中国石化,5.69,-0.04,-0.698,5.69,5.7,5.73,5.73,5.74,5.67,96825754,551469789,15:00:00,600028
sh600029,南方航空,5.89,-0.13,-2.159,5.89,5.9,6.02,6,6.02,5.85,65375924,385693869,15:00:01,600029
sh600030,中信证券,27.24,-0.34,-1.233,27.23,27.24,27.58,27.5,27.5,27.14,90443787,2465622786,15:00:00,600030
sh600031,三一重工,20.47,0.61,3.072,20.47,20.48,19.86,20.2,20.55,20,210641673,4285481925,15:00:01,600031
sh600032,浙江新能,7.3,-0.01,-0.137,7.3,7.31,7.31,7.29,7.36,7.27,5002200,36506083,15:00:01,600032
sh600033,福建高速,3.68,0,0,3.68,3.69,3.68,3.68,3.76,3.67,43772713,162103628,15:00:03,600033
sh600035,楚天高速,4.22,0.01,0.238,4.21,4.22,4.21,4.2,4.24,4.2,8573674,36151182,15:00:01,600035
sh600036,招商银行,43.07,-0.5,-1.148,43.06,43.07,43.57,43.49,43.58,42.82,50874971,2191791878,15:00:01,600036
sh600037,歌华有线,7.64,-0.12,-1.546,7.64,7.65,7.76,7.73,7.77,7.58,16751096,128153066,15:00:01,600037
sh600038,中直股份,37.15,-0.05,-0.134,37.15,37.16,37.2,37.24,37.69,37,7492948,279198561,15:00:01,600038
sh600039,四川路桥,7.43,0.01,0.135,7.42,7.43,7.42,7.39,7.44,7.27,22393106,165363991,15:00:01,600039
sh600048,保利发展,8.69,-0.11,-1.25,8.69,8.7,8.8,8.84,8.9,8.64,92552287,808423899,15:00:00,600048
sh600050,中国联通,6.22,-0.19,-2.964,6.21,6.22,6.41,6.4,6.4,6.19,411216259,2567325686,15:00:01,600050
sh600051,宁波联合,6.85,0.06,0.884,6.83,6.85,6.79,6.8,6.87,6.74,2544401,17388695,15:00:01,600051
sh600052,东望时代,4.66,0.1,2.193,4.65,4.66,4.56,4.56,4.67,4.55,7914900,36513020,15:00:01,600052
sh600053,九鼎投资,13.64,-0.23,-1.658,13.63,13.64,13.87,13.77,13.8,13.57,5474200,74715277,15:00:01,600053
sh600054,黄山旅游,11.76,0.14,1.205,11.76,11.77,11.62,11.6,11.8,11.52,8190936,95653607,15:00:01,600054
sh600055,万东医疗,17.73,0.16,0.911,17.73,17.74,17.57,18.65,18.72,17.7,18589035,335342339,15:00:01,600055
sh600056,中国医药,10.67,0.1,0.946,10.67,10.68,10.57,10.59,10.73,10.59,10636956,113160491,15:00:01,600056
sh600057,厦门象屿,5.93,0.09,1.541,5.93,5.94,5.84,5.85,5.96,5.82,15793374,93402681,15:00:03,600057
sh600058,五矿发展,7.67,-0.06,-0.776,7.66,7.67,7.73,7.71,7.77,7.64,7957362,61166387,15:00:01,600058
sh600059,古越龙山,8.34,0.03,0.361,8.34,8.35,8.31,8.29,8.36,8.25,6752928,56031277,15:00:01,600059
sh600060,海信视像,22.55,0.01,0.044,22.54,22.55,22.54,22.56,22.88,22.28,8885362,200487293,15:00:00,600060
sh600061,国投资本,7.11,-0.1,-1.387,7.11,7.12,7.21,7.18,7.2,7.08,26544106,189066353,15:00:01,600061
sh600062,华润双鹤,19.01,0.2,1.063,19,19.01,18.81,18.76,19.01,18.74,9645720,182213872,15:00:01,600062
sh600063,皖维高新,4.19,0.05,1.208,4.19,4.2,4.14,4.15,4.22,4.1,47877817,199746521,15:00:01,600063
sh600064,南京高科,7.23,-0.16,-2.165,7.22,7.23,7.39,7.39,7.4,7.18,21359571,155242040,15:00:00,600064
sh600066,宇通客车,25.56,-0.17,-0.661,25.55,25.56,25.73,25.65,25.66,25.21,14776782,376102979,15:00:01,600066
sh600067,冠城新材,2.62,0.03,1.158,2.61,2.62,2.59,2.58,2.62,2.57,25061000,65013526,15:00:01,600067
sh600071,凤凰光学,21.42,-0.15,-0.695,21.41,21.42,21.57,21.18,21.64,21.18,3169575,67819239,15:00:01,600071
sh600072,中船科技,13.2,0.33,2.564,13.19,13.2,12.87,12.87,13.33,12.85,35984323,473294215,15:00:00,600072
sh600073,光明肉业,6.37,0.04,0.632,6.37,6.38,6.33,6.36,6.41,6.34,9815947,62601735,15:00:01,600073
sh600075,新疆天业,4.27,0,0,4.27,4.28,4.27,4.26,4.29,4.24,9104719,38825560,15:00:03,600075
sh600076,康欣新材,2.21,0,0,2.21,2.22,2.21,2.23,2.27,2.2,33185770,73799397,15:00:01,600076
sh600078,澄星股份,5.3,0.06,1.145,5.3,5.31,5.24,5.23,5.36,5.23,8529101,45232645,15:00:03,600078
sh600079,人福医药,20,0.11,0.553,20,20.01,19.89,19.99,20.15,19.84,13407500,267838272,15:00:01,600079
sh600080,金花股份,7.46,-0.31,-3.99,7.45,7.46,7.77,7.73,7.74,7.3,12565900,94138533,15:00:01,600080
sh600081,东风科技,12.05,-0.12,-0.986,12.05,12.06,12.17,12.22,12.29,12,8102570,98171172,15:00:01,600081
sh600082,海泰发展,3.05,0.03,0.993,3.04,3.05,3.02,3.02,3.07,3.01,8726100,26523430,15:00:01,600082
sh600084,中信尼雅,5.65,0.07,1.254,5.64,5.65,5.58,5.58,5.66,5.58,3666705,20635241,15:00:01,600084
sh600085,同仁堂,36.46,0.09,0.247,36.46,36.47,36.37,36.4,36.63,36.23,5635357,205173988,15:00:01,600085
sh600088,中视传媒,16.89,-0.07,-0.413,16.88,16.89,16.96,16.77,16.97,16.76,3147220,52932117,15:00:00,600088
sh600089,特变电工,12.21,-0.02,-0.164,12.21,12.22,12.23,12.23,12.3,12.14,29595689,360975827,15:00:00,600089
sh600094,大名城,3.46,-0.07,-1.983,3.45,3.46,3.53,3.5,3.53,3.4,27274652,93946043,15:00:01,600094
sh600095,湘财股份,6.71,-0.02,-0.297,6.71,6.72,6.73,6.71,6.74,6.67,14347801,96099876,15:00:03,600095
sh600096,云天化,21.24,0.09,0.426,21.23,21.24,21.15,21.17,21.32,21.09,20395557,432422009,15:00:01,600096
sh600097,开创国际,9.24,0.23,2.553,9.23,9.24,9.01,9.03,9.26,9.02,5012297,45914206,15:00:01,600097
sh600098,广州发展,6.07,-0.01,-0.164,6.06,6.07,6.08,6.08,6.1,6.04,12361044,74946537,15:00:01,600098
sh600099,林海股份,9.62,-0.02,-0.207,9.6,9.62,9.64,9.62,9.7,9.5,2960501,28449104,15:00:01,600099
sh600100,同方股份,8.37,-0.19,-2.22,8.36,8.37,8.56,8.58,8.62,8.29,107111656,898397994,15:00:01,600100
sh600101,明星电力,9.15,0.05,0.549,9.15,9.16,9.1,9.1,9.2,9.06,14466148,132262579,15:00:01,600101
sh600103,青山纸业,2.23,0,0,2.22,2.23,2.23,2.23,2.26,2.21,33976837,75778722,15:00:01,600103
sh600104,上汽集团,16.24,-0.16,-0.976,16.24,16.25,16.4,16.39,16.39,16.18,39952756,648386528,15:00:00,600104
sh600105,永鼎股份,5.99,0.04,0.672,5.99,6,5.95,5.95,6.1,5.87,76289539,455628009,15:00:03,600105
sh600106,重庆路桥,5.69,0.03,0.53,5.68,5.69,5.66,5.62,5.79,5.6,25732033,146164737,15:00:01,600106
sh600107,美尔雅,4.79,0.44,10.115,4.79,0,4.35,4.41,4.79,4.35,17369807,82386784,15:00:01,600107
sh600108,亚盛集团,2.82,0.01,0.356,2.82,2.83,2.81,2.82,2.85,2.81,15471201,43717150,15:00:03,600108
sh600109,国金证券,8.54,-0.01,-0.117,8.53,8.54,8.55,8.53,8.56,8.46,22813939,194054178,15:00:01,600109
sh600110,诺德股份,4.26,0.01,0.235,4.26,4.27,4.25,4.25,4.31,4.23,19991804,85343353,15:00:00,600110
sh600111,北方稀土,23.12,-0.04,-0.173,23.11,23.12,23.16,23.28,23.38,22.94,37936996,876027150,15:00:01,600111
sh600113,浙江东日,13.17,0,0,13.17,13.18,13.17,13.09,13.2,12.99,2773400,36317703,15:00:01,600113
sh600114,东睦股份,24.72,0,0,0,0,24.72,0,0,0,0,0,15:43:33,600114
sh600115,中国东航,3.81,-0.05,-1.295,3.81,3.82,3.86,3.86,3.88,3.8,60918096,232818830,15:00:01,600115
sh600116,三峡水利,6.74,0.01,0.149,6.73,6.74,6.73,6.72,6.74,6.7,4374901,29398783,15:00:01,600116
sh600117,西宁特钢,2.21,-0.02,-0.897,2.21,2.22,2.23,2.22,2.25,2.2,18585000,41244502,15:00:01,600117
sh600118,中国卫星,28.45,0.05,0.176,28.45,28.46,28.4,28.27,28.95,28.23,16668952,476761350,15:00:01,600118
sh600119,长江投资,8.24,0.02,0.243,8.24,8.25,8.22,8.21,8.35,8.18,3652015,30117240,15:00:00,600119
sh600120,浙江东方,7.05,-0.06,-0.844,7.04,7.05,7.11,7.09,7.16,7,89450816,630289928,15:00:01,600120
sh600121,郑州煤电,3.96,0.18,4.762,3.95,3.96,3.78,3.77,4.03,3.77,65124803,256228110,15:00:00,600121
sh600123,兰花科创,7.64,0.06,0.792,7.64,7.65,7.58,7.58,7.72,7.57,10459684,80012922,15:00:00,600123
sh600125,铁龙物流,5.58,0.01,0.18,5.58,5.59,5.57,5.57,5.62,5.56,6680600,37295294,15:00:01,600125
sh600126,杭钢股份,12.14,0.5,4.296,12.14,12.15,11.64,11.55,12.33,11.11,283845094,3396061042,15:00:01,600126
sh600127,金健米业,6.56,0.01,0.153,6.56,6.57,6.55,6.59,6.62,6.54,10065701,66174887,15:00:01,600127
sh600128,苏豪弘业,9.67,0.04,0.415,9.66,9.67,9.63,9.6,9.69,9.52,11340400,109033558,15:00:00,600128
sh600129,太极集团,21.69,0.08,0.37,21.68,21.69,21.61,21.88,21.96,21.53,15095131,327461061,15:00:01,600129
sh600130,波导股份,3.6,-0.01,-0.277,3.59,3.6,3.61,3.6,3.65,3.56,21759300,78282952,15:00:03,600130
sh600131,国网信通,19.28,-0.62,-3.116,19.28,19.29,19.9,19.84,19.89,19.09,20339965,392797046,15:00:01,600131
sh600132,重庆啤酒,55.6,0.03,0.054,55.6,55.62,55.57,55.57,55.7,55.14,2512783,139285213,15:00:01,600132
sh600133,东湖高新,10.5,-0.04,-0.38,10.49,10.5,10.54,10.5,10.65,10.33,55826202,583308788,15:00:01,600133
sh600135,乐凯胶片,6.91,0.06,0.876,6.91,6.92,6.85,6.85,6.98,6.83,6156476,42595460,15:00:01,600135
sh600137,浪莎股份,15.94,0.08,0.504,15.94,15.95,15.86,16.03,16.25,15.86,2774200,44510031,15:00:01,600137
sh600138,中青旅,10.2,0.01,0.098,10.2,10.21,10.19,10.15,10.23,10.13,11001701,112004718,15:00:01,600138
sh600141,兴发集团,21.56,-0.16,-0.737,21.56,21.57,21.72,21.62,21.7,21.36,12254814,263019697,15:00:01,600141
sh600143,金发科技,12.19,-0.29,-2.324,12.19,12.2,12.48,12.51,12.56,12.11,78547699,960404185,15:00:01,600143
