序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4148,1,平安银行,12.06,-0.74,-0.09,1644260,1979461311,1.56,12.17,11.98,12.15,12.15,1.3,0.85,4.71,0.53,2.34035E+11,2.34032E+11,0,0,8.65,6.35
2892,2,万  科Ａ,6.56,0,0,1307699,854125574.8,0.76,6.56,6.51,6.56,6.56,0.91,1.35,-3.28,0.41,78265454130,63739581566,0,0,-2.09,-9.64
4265,6,深振业Ａ,7.3,-0.82,-0.06,404734,295032457.1,1.9,7.38,7.24,7.3,7.36,0.49,3,-94.99,1.83,9854963836,9854907991,0,0.14,4.43,-0.27
3383,7,全新好,7.78,-0.26,-0.02,120144,93179581.04,5.64,7.89,7.45,7.8,7.8,1.07,3.47,380.19,14.89,2695365782,2695365782,0.52,0.65,-0.64,10.67
4073,8,神州高铁,2.98,-0.67,-0.02,1095946,325239840.6,2,3,2.94,2.97,3,1.23,4.03,-47.48,2.71,8094805495,8094377108,0,0.34,4.93,2.76
2530,9,中国宝安,9.52,0.21,0.02,232061,220281731.6,1.16,9.55,9.44,9.48,9.5,0.71,0.9,36.41,2.45,24554116947,24523714827,0,0,17.53,4.04
1002,10,美丽生态,4.68,1.96,0.09,317008,145918420,3.05,4.68,4.54,4.6,4.59,0.56,4.06,-232.1,18.18,5380372727,3657673239,0,0.21,57.58,66.55
4545,11,深物业A,9.41,-1.05,-0.1,182409,171591067.8,2.42,9.58,9.35,9.56,9.51,0.5,3.46,280.09,1.67,5608163256,4954134860,0.11,0,10.06,7.67
3646,12,南  玻Ａ,4.87,-0.41,-0.02,255055,123490246.7,1.02,4.87,4.82,4.85,4.89,1.24,1.3,100.32,1.13,14954270561,9541871832,0,0,5.41,-6.53
5358,14,沙河股份,14.79,-4.21,-0.65,226906,339827908.2,5.05,15.55,14.77,15.36,15.44,0.69,9.37,-93.83,2.22,3579863653,3579863653,-0.14,-0.14,23.77,34.58
2819,16,深康佳Ａ,5.56,0,0,670062,371152142.2,1.98,5.62,5.51,5.55,5.56,0.56,4.2,35.3,5.65,13388176468,8877061528,0.18,0,10.76,0.72
1978,17,深中华A,6.8,0.59,0.04,189990,127963190,2.22,6.81,6.66,6.73,6.76,0.79,6.27,126.18,12.95,4686457544,2060297762,0,0.15,-1.73,17.24
4616,19,深粮控股,6.97,-1.13,-0.08,131946,91824556.7,2.27,7.07,6.91,7.05,7.05,0.98,3.17,22.82,1.63,8033170720,2901028357,-0.29,-0.29,4.34,8.57
3550,20,深华发Ａ,14.36,-0.35,-0.05,38531,55289810.3,1.8,14.51,14.25,14.45,14.41,0.9,2.13,141.78,9.73,4066195220,2601535015,0.07,0.07,14.79,15.62
392,21,深科技,21.44,4.33,0.89,1251423,2638184843,4.87,21.45,20.45,20.48,20.55,1.4,8.02,46.75,2.82,33458997887,33455042207,0.09,0,22.37,13.62
2148,25,特  力Ａ,17.84,0.45,0.08,113109,201273707,1.86,17.98,17.65,17.9,17.76,0.99,2.88,45.77,4.35,7690080429,7007165229,0,-0.06,-1.49,8.65
4237,26,飞亚达,18.82,-0.79,-0.15,172942,323331321,2.85,18.99,18.45,18.98,18.97,0.67,4.74,46.31,2.29,7636478612,6861075340,-0.05,-0.05,30.88,88.77
2662,27,深圳能源,6.93,0.14,0.01,253519,174342523.2,1.59,6.94,6.83,6.9,6.92,0.74,0.53,6.1,1.03,32968712118,32968712118,-0.14,0.14,8.79,9.48
3053,28,国药一致,25.97,-0.04,-0.01,45661,118224771.5,0.77,26.01,25.81,25.94,25.98,0.96,0.96,10.85,0.8,14453995050,12415054901,0,-0.04,4.76,-10.08
234,29,深深房Ａ,27.52,5.89,1.53,98165,267644040.8,7.08,27.92,26.08,26.09,25.99,1.04,1.1,96.11,7.76,27840883200,24538483200,-0.18,0.29,51.29,82.74
2097,30,富奥股份,6.19,0.49,0.03,134398,82827814,1.79,6.21,6.1,6.17,6.16,0.83,0.8,16.3,1.36,10645629131,10340887829,0,-0.16,1.14,24.3
2355,31,大悦城,3.24,0.31,0.01,203470,65623882.1,1.55,3.25,3.2,3.23,3.23,0.81,0.47,-13.48,1.34,13887655218,13887627231,0,0.31,23.66,6.58
957,32,深桑达Ａ,24.57,2.03,0.49,309518,755779371.9,2.62,24.71,24.08,24.08,24.08,0.88,2.81,-205.25,4.42,27959658379,27064165368,0.04,0,24.28,40.24
428,34,神州数码,47.42,4.06,1.85,725733,3404051047,3.16,47.59,46.15,46.42,45.57,1.13,12.21,38.81,3.21,33727981209,28184932599,0.02,0.02,24.82,36.3
4361,35,中国天楹,4.45,-0.89,-0.04,319240,141442864.7,2.67,4.51,4.39,4.48,4.49,1.21,1.32,26.3,1.03,11128485160,10794955341,0,0,0.68,-8.06
5122,36,华联控股,4.36,-2.02,-0.09,268671,118098874.8,3.82,4.5,4.33,4.46,4.45,0.72,1.92,266.84,1.2,6120649641,6109018286,0,0.23,22.82,6.86
3845,37,深南电A,9.37,-0.53,-0.05,137753,128280859.4,2.23,9.47,9.26,9.47,9.42,1.04,4.06,-129.9,3.85,5647885525,3175569366,0,0.11,-0.95,17.71
2807,39,中集集团,8.15,0,0,517480,420032902.5,1.47,8.19,8.07,8.17,8.15,0.91,2.25,20.2,0.92,43949041138,18756468199,0,0,6.4,7.24
5179,42,中洲控股,9.18,-2.24,-0.21,149149,137258838.8,3.3,9.43,9.12,9.43,9.39,1.6,2.25,16.1,1.78,6103149856,6096724434,0.11,0,30.77,105.37
3102,45,深纺织Ａ,11.51,-0.09,-0.01,102125,116613431.5,1.74,11.52,11.32,11.49,11.52,0.67,2.23,82.73,1.98,5830066482,5260321482,0.09,0.09,5.02,9
4167,48,京基智农,15.93,-0.75,-0.12,109452,173988026.5,2.49,16.2,15.8,16.09,16.05,1.52,2.08,18.68,1.94,8447396243,8384908428,0.06,0.19,0.82,-9.8
2611,49,德赛电池,24.26,0.17,0.04,67310,163004410.7,1.16,24.33,24.05,24.13,24.22,0.88,1.75,47.94,1.44,9331330835,9328815752,0,0,13.47,4.66
1004,50,深天马Ａ,9.88,1.96,0.19,305646,300021763.3,3.82,10.01,9.64,9.74,9.69,1.14,1.24,58.97,0.88,24282546891,24282240858,-0.1,0,18.04,9.41
3736,55,方大集团,4.21,-0.47,-0.02,127587,53428403.81,2.36,4.25,4.15,4.23,4.23,0.94,1.89,130.74,0.74,4521010496,2845337884,0,0.24,2.68,8.23
5018,56,皇庭国际,2.76,-1.78,-0.05,616719,168868327,4.27,2.8,2.68,2.8,2.81,0.75,6.82,-9.95,11.84,3263777887,2494291441,0,-0.36,-12.38,1.1
4053,58,深 赛 格,9.1,-0.66,-0.06,114947,104576780,1.64,9.19,9.04,9.12,9.16,0.77,1.17,122.4,5.57,11203926115,8960875596,0,0,9.9,13.47
3591,59,华锦股份,5.41,-0.37,-0.02,248333,133597498.4,2.21,5.44,5.32,5.43,5.43,1,1.55,-4.37,0.83,8652984125,8652984125,0,0,-0.18,13.42
1450,60,中金岭南,5.1,1.19,0.06,804210,407708473.3,2.18,5.12,5.01,5.04,5.04,1.22,2.15,17.45,1.37,19061768981,19061482106,0,0.2,16.44,10.87
3190,61,农 产 品,6.84,-0.15,-0.01,153849,104806300.2,2.04,6.88,6.74,6.85,6.85,1.09,0.91,30.47,1.82,11607234656,11607021761,0,-0.15,8.57,-1.44
518,62,深圳华强,32.25,3.53,1.1,1105137,3530010759,6.68,33.1,31.02,31.89,31.15,1.45,10.58,79.87,4.92,33730575635,33698960250,0,-0.06,25.49,45.14
110,63,中兴通讯,46.55,9.38,3.99,4436296,19832362156,9.82,46.68,42.5,43.5,42.56,1.46,11.02,22.69,3.08,2.22674E+11,1.87474E+11,0.15,0.15,47.73,17.02
3781,65,北方国际,12.19,-0.49,-0.06,277565,335598094,3.18,12.25,11.86,12,12.25,0.54,2.85,21.14,1.3,13060193804,11884790291,0.08,0.08,16.21,26.58
276,66,中国长城,18.2,5.32,0.92,3454838,6206410136,5.56,18.25,17.29,17.29,17.28,1.12,10.71,-92.01,5.37,58709543402,58705735052,0,0,22.31,24.91
5043,68,华控赛格,3.73,-1.84,-0.07,329303,123050922.6,2.11,3.79,3.71,3.77,3.8,0.56,3.27,-54.05,5.43,3754884561,3754884561,0,0,8.43,11.34
2178,69,华侨城Ａ,2.33,0.43,0.01,741798,171056335.2,1.72,2.33,2.29,2.32,2.32,1.01,1.08,-3.3,0.39,18727976263,16072962439,0,0.43,-1.69,-12.73
2545,70,特发信息,9.55,0.21,0.02,499103,474240331.8,1.78,9.58,9.41,9.5,9.53,0.4,5.62,-142.77,5.79,8598292458,8486079156,0.1,0,45.36,66.09
4589,78,海王生物,2.69,-1.1,-0.03,395005,105942788.8,2.21,2.73,2.67,2.72,2.72,1.07,1.5,74.61,3.89,7077721561,7065126661,0,0,6.75,5.49
2527,88,盐 田 港,4.6,0.22,0.01,298507,136909951.9,0.65,4.6,4.57,4.59,4.59,1.25,0.94,19.11,1.37,23917623392,14549314553,0,0.22,0.88,-2.95
3415,89,深圳机场,7.19,-0.28,-0.02,295097,210823154.6,1.53,7.22,7.11,7.18,7.21,1.27,1.44,23.61,1.29,14745032770,14744837878,0,0,1.99,6.2
2401,90,天健集团,3.62,0.28,0.01,261395,93934283.35,1.39,3.62,3.57,3.62,3.61,1,1.4,81.65,0.61,6764134471,6763824961,0.28,0,4.62,-9.73
4261,96,广聚能源,12.26,-0.81,-0.1,114637,140339270,1.21,12.35,12.2,12.33,12.36,0.96,2.24,111.63,2.33,6473280000,6262996480,0,0,-18.05,0.57
1133,99,中信海直,23.85,1.71,0.4,313219,742748191,2.99,24.06,23.36,23.38,23.45,1.05,4.04,50.71,3.48,18502117767,18502117767,0.04,0,8.61,-9.11
487,100,TCL科技,4.78,3.69,0.17,6322215,2975023782,4.12,4.78,4.59,4.6,4.61,2.04,3.49,24.55,1.62,99428122497,86502445383,0.21,0.21,10.39,-4.02
