代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-08-23 21:45:43
300983,尤安设计,0.087323944,-3415.1,未知行业,-1.6
300605,恒锋信息,0.123314066,-3015.44,未知行业,-1.16
300540,蜀道装备,0.070749108,-1559.99,未知行业,-0.34
301218,华是科技,0.076888489,-345.72,未知行业,-0.55
603255,鼎际得,0.094940867,-323.11,未知行业,-0.58
301272,英华特,0.091270894,-294.95,未知行业,-0.39
301198,喜悦智行,0.083333333,-183.52,未知行业,-1.27
600894,广日股份,0.118,-178.5,未知行业,-1.54
300024,机器人,0.237418591,-160.4,未知行业,1.98
600409,三友化工,0.086238532,-159.04,未知行业,-1.01
301516,中远通,0.136631331,-133.99,未知行业,0.43
600981,汇鸿集团,0.101351351,-131.2,未知行业,-0.31
300786,国林科技,0.111994698,-123.9,未知行业,1.11
300461,田中精机,0.106203474,-107.5,未知行业,-1.21
301360,荣旗科技,0.092468454,-98.2,未知行业,-0.18
603968,醋化股份,0.062652563,-98.09,未知行业,-1.07
300736,百邦科技,0.124107143,-83.31,未知行业,-2.22
600419,天润乳业,0.094161959,-83,未知行业,-1.03
600692,亚通股份,0.161498708,-73.04,未知行业,2.91
300353,东土科技,0.137947725,-70.29,未知行业,1.11
300106,西部牧业,0.099223469,-66.87,未知行业,0.08
3005,竞业达,0.083622184,-66.42,未知行业,1
300603,立昂技术,0.141862489,-65.79,未知行业,-0.54
300213,佳讯飞鸿,0.212321232,-62.68,未知行业,1.22
301013,利和兴,0.15264977,-60.6,未知行业,-0.3
300062,中能电气,0.066543438,-59.42,未知行业,-1.04
300667,必创科技,0.097839898,-59.15,未知行业,0.65
300691,联合光电,0.086659664,-57.4,未知行业,0.05
300504,天邑股份,0.074026803,-48.42,未知行业,0.3
2902,铭普光磁,0.123339658,-37.63,未知行业,0.56
300594,朗进科技,0.105888709,-34.4,未知行业,-0.94
2813,路畅科技,0.133878605,-33.36,未知行业,0.15
300928,华安鑫创,0.062481837,-32.66,未知行业,-0.06
2963,豪尔赛,0.066153846,-30.1,未知行业,-0.3
301512,智信精密,0.102026716,-29.18,未知行业,-0.51
300853,申昊科技,0.112525667,-27.23,未知行业,1.53
300894,火星人,0.066666667,-27.19,未知行业,-0.82
300745,欣锐科技,0.101501813,-25.87,未知行业,0.29
301307,美利信,0.148760331,-24.07,未知行业,-0.18
301273,瑞晨环保,0.107583115,-23.37,未知行业,-1.52
601717,中创智领,0.138271605,7.45,未知行业,-0.66
600251,冠农股份,0.095298602,8.93,未知行业,-1.28
601618,中国中冶,0.106666667,10.57,未知行业,-0.91
601311,骆驼股份,0.108791209,10.92,未知行业,-1.3
600710,苏美达,0.088655863,11.24,未知行业,-1.77
603612,索通发展,0.163498099,11.43,未知行业,-1.07
603708,家家悦,0.054976303,12.36,未知行业,-1.26
603338,浙江鼎力,0.122878757,13.01,未知行业,-0.22
605287,德才股份,0.090435914,13.19,未知行业,-1.49
603713,密尔克卫,0.165763409,13.77,未知行业,-1.75
603589,口子窖,0.063701923,14.49,未知行业,-0.29
2996,顺博合金,0.076398363,14.61,未知行业,-1.03
600380,健康元,0.061990212,15,未知行业,-0.23
601886,江河集团,0.070844687,15.06,未知行业,-1.03
603355,莱克电气,0.074283232,15.35,未知行业,-1.33
603201,常润股份,0.097033375,15.87,未知行业,-1.47
603311,金海高科,0.05877193,15.96,未知行业,-1.17
603858,步长制药,0.063227953,16.28,未知行业,-1.04
301220,亚香股份,0.075843928,16.51,未知行业,0.5
603919,金徽酒,0.124380848,17.1,未知行业,-0.1
603202,天有为,0.061368209,17.27,未知行业,0.12
