序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3267,100,TCL科技,4.75,0,0,1898027,903557293.4,1.05,4.79,4.74,4.76,4.75,0.8,1.05,43.86,1.68,89200633643,85966110237,-0.21,0,-5.94,-5.57
2284,2668,TCL智家,11.93,0.59,0.07,203585,243185543.4,1.94,12.06,11.83,12.05,11.86,1.06,1.88,12.69,5.35,12933449336,12933449336,0,-0.08,2.4,-9.07
3046,2129,TCL中环,9.03,0.11,0.01,503247,456924480.9,2.11,9.19,9,9.06,9.02,0.81,1.25,-4.52,1.05,36509335430,36481720182,0,0,-10.06,1.8
5246,300825,阿尔特,13.39,-3.46,-0.48,335867,454453656,7.14,14.29,13.3,14.22,13.87,1,6.93,4027.73,2.75,6668762041,6486252578,-0.3,0.07,1.21,18.5
1721,603722,阿科力,43.12,1.01,0.43,6949,29856109,2.41,43.4,42.37,42.4,42.69,0.89,0.79,-456.15,4.37,4126589218,3791865000,0,-0.05,-1.73,2.67
3936,301419,阿莱德,36.43,-0.49,-0.18,32945,120359659,2.02,36.95,36.21,36.61,36.61,0.65,9.32,98.85,3.92,3643000000,1287800500,0.03,0.03,2.79,20.67
1130,300706,阿石创,23.9,1.7,0.4,38454,91598702,3.66,24.24,23.38,23.53,23.5,1.04,3.39,276.96,4.81,3655182326,2709154601,-0.04,-0.04,-5.46,-0.62
2792,2747,埃斯顿,23.62,0.25,0.06,344641,809159845,3.14,23.85,23.11,23.5,23.56,0.68,4.4,-230.27,7.9,20478975860,18480409714,0,0.04,17.1,27.68
738,603580,艾艾精工,19.3,2.55,0.48,55904,107670990,3.67,19.56,18.87,18.87,18.82,1.7,4.28,323.92,5.81,2521992760,2521992760,0.16,0.42,-10.81,10.16
2170,300389,艾比森,12.06,0.67,0.08,43806,52712224,1.5,12.1,11.92,11.98,11.98,0.56,1.88,37.96,2.94,4451349823,2812332255,-0.08,0,-6.37,1.26
5247,301259,艾布鲁,46.24,-3.47,-1.66,48142,225541485.7,5.01,48.18,45.78,47.9,47.9,1.58,5.92,-161.33,8.67,7213440000,3762538997,0.24,0.35,0.26,-3.67
4009,300685,艾德生物,23.81,-0.54,-0.13,50459,120219675.6,1.84,24.1,23.66,24,23.94,0.69,1.3,30.88,5.18,9358805482,9276313213,0.04,-0.04,-5.55,4.43
3344,603638,艾迪精密,20.18,-0.05,-0.01,47445,95244696,1.58,20.22,19.9,20.05,20.19,0.75,0.57,44.83,5.27,16771360037,16771360037,0.15,0.15,17.19,19.48
4360,603989,艾华集团,16.6,-0.84,-0.14,66299,110669554,2.93,17.05,16.56,16.97,16.74,0.96,1.65,25.18,1.81,6658768010,6658768010,-0.12,-0.12,8.28,10.08
3364,300816,艾可蓝,32.4,-0.09,-0.03,26120,84298961,2.1,32.67,31.99,32.64,32.43,0.48,5.4,37.7,3.11,2592000000,1567064977,-0.06,-0.12,28.06,26.61
2287,301580,爱迪特,57.63,0.59,0.34,7305,41924612.06,1.08,57.67,57.05,57.46,57.29,0.77,3.84,29.61,2.25,4386653081,1096663285,0.05,-0.03,-5.77,-0.81
4649,300015,爱尔眼科,14.2,-1.18,-0.17,823285,1174716545,2.16,14.47,14.16,14.33,14.37,1.1,1.04,28.78,6.49,1.32444E+11,1.1262E+11,0.07,0,-6.27,7.17
4939,600643,爱建集团,5.11,-1.73,-0.09,290973,149448187,1.92,5.2,5.1,5.14,5.2,1.56,1.83,24.63,0.65,8141102676,8126697269,0.2,0,-15.68,-1.16
838,600933,爱柯迪,20.61,2.28,0.46,332062,687425962,5.96,21.2,20,20,20.15,1.22,3.4,20.52,2.54,20297900627,20143572947,0.15,0.19,26.83,26.44
1808,300889,爱克股份,17.36,0.93,0.16,40875,70669109.03,3.2,17.55,17,17.39,17.2,0.67,4.18,-28.73,1.77,2708160000,1696477790,0.35,0.17,15.35,25.89
4797,300696,爱乐达,17.02,-1.45,-0.25,63273,107943034.8,3.13,17.45,16.91,17.35,17.27,0.5,3.39,-200.76,2.71,4989463771,3173009649,0.06,0.18,-0.82,9.59
866,603221,爱丽家居,10.18,2.21,0.22,55696,56232175,2.41,10.2,9.96,10.04,9.96,1.16,2.32,19.96,1.61,2489824400,2443200000,0.1,0.1,-10.62,11.5
2583,603529,爱玛科技,42.66,0.38,0.16,55352,235021823,3.11,43.12,41.8,42.99,42.5,1.38,0.66,17.75,4.43,36760802512,35952429640,0,-0.09,-1.04,4
958,300896,爱美客,203.99,2,3.99,57554,1169137589,3.61,206.66,199.45,201.03,200,0.62,2.76,29.2,8.27,61725754523,42556124533,0,0,-8.8,11.78
4006,603511,爱慕股份,14.84,-0.54,-0.08,43399,65140194,3.42,15.33,14.82,15.23,14.92,1.2,1.08,32.02,1.38,6033289734,5964007710,-0.07,-0.07,2.56,14.15
5229,300753,爱朋医疗,22.47,-3.19,-0.74,98358,222800250.5,3.32,23.17,22.4,22.74,23.21,0.77,11.94,557.93,4.09,2832298560,1851728253,-0.09,0.09,27.96,27.45
4405,603020,爱普股份,8.96,-0.88,-0.08,59924,53774622,2.1,9.12,8.93,9.12,9.04,0.86,1.56,28.95,1.07,3433810455,3433810455,0.11,0.11,2.87,15.76
3098,2416,爱施德,13.78,0.07,0.01,237646,328486600.7,1.16,13.91,13.75,13.8,13.77,0.8,1.94,24.4,2.85,17077303287,16865401309,0,0,-14.14,-15.3
1366,2403,爱仕达,16.96,1.37,0.23,130906,220376068.6,3.77,17.17,16.54,16.73,16.73,0.94,4.41,2609.31,3.45,5777230300,5039858260,0.06,0.12,-20.3,19.69
2190,300521,爱司凯,26.13,0.65,0.17,33262,86071833.4,4.47,26.57,25.41,26.18,25.96,0.45,2.31,-293.79,7.81,3762720000,3762695307,0,0.08,2.27,27.78
707,600732,爱旭股份,14.01,2.64,0.36,526864,741103412,3.44,14.29,13.82,13.9,13.65,1.04,3.3,-6.78,4.19,25604923501,22394245874,0,-0.14,2.94,27.13
66,603214,爱婴室,23.42,10,2.13,161986,378939173,2.02,23.42,22.99,23.42,21.29,2.01,11.69,50.81,2.96,3244607643,3244607643,0,0,15.37,3.81
2154,2136,安 纳 达,10.33,0.68,0.07,39413,40714163.33,2.24,10.45,10.22,10.31,10.26,1.09,1.84,40.8,1.85,2221156600,2214314628,0.1,0.1,-7.77,5.95
4316,603373,安邦护卫,31.57,-0.82,-0.26,32371,102334008,2.54,32.13,31.32,31.5,31.83,1.92,7.13,29.57,1.94,3394623665,1434228510,-0.25,-0.28,-4.22,5.62
2842,600207,安彩高科,4.6,0.22,0.01,168868,78480245,2.61,4.71,4.59,4.62,4.59,0.86,1.55,-41.8,1.66,5010837748,5010837748,0,0,-14.02,3.14
278,300572,安车检测,18.55,4.86,0.86,107935,198453320,7.8,18.95,17.57,17.73,17.69,1.69,5.88,-120.99,2.15,4247742463,3405716207,0.11,0.05,-10.3,2.66
3771,300719,安达维尔,18.72,-0.37,-0.07,51441,96936854.16,1.65,19.02,18.71,18.79,18.79,0.67,2.86,676.12,4.57,4767917544,3362488871,0,-0.16,-10.81,4.52
4120,553,安道麦A,6.23,-0.64,-0.04,62911,39433457.3,2.39,6.37,6.22,6.3,6.27,0.92,0.29,-5,0.76,14514727302,13563158317,0.16,0.16,-10.23,-6.74
3899,605198,安德利,36.6,-0.46,-0.17,8771,32051084,2.39,37.08,36.2,36.77,36.77,0.43,0.32,47.34,4.78,12487920000,9901617600,-0.05,0,22.2,32.75
1307,600299,安迪苏,11.09,1.46,0.16,180357,199353715,1.92,11.14,10.93,11,10.93,1.38,0.67,24.7,1.91,29742285118,29742285118,0,0.09,-1.77,-11.63
987,603031,安孚科技,30.99,1.94,0.59,52520,162027719,2.53,31.08,30.31,30.7,30.4,1.34,2.49,32.72,3.6,6542608800,6542608800,0,-0.03,7.87,8.36
1912,600761,安徽合力,20.51,0.84,0.17,151772,311336034,2.56,20.7,20.18,20.43,20.34,0.71,1.7,12.44,1.79,18268108528,18268108528,-0.15,-0.1,10.8,16.2
2488,600502,安徽建工,4.57,0.44,0.02,156382,71488329,0.88,4.59,4.55,4.56,4.55,0.98,0.91,6.12,0.75,7844560097,7844560097,0,-0.22,-10.39,-4.39
3888,603696,安记食品,8.87,-0.45,-0.04,82100,72994642,2.02,8.97,8.79,8.91,8.91,1.04,3.49,73.43,3.72,2086224000,2086224000,0,0,-20.87,8.17
435,2635,安洁科技,16.81,3.64,0.59,296268,495244040.3,6.17,17.13,16.13,16.28,16.22,3,7.49,37.55,1.91,11089334705,6646624276,-0.18,-0.24,0.84,5.59
3070,603345,安井食品,85.85,0.09,0.08,69383,592568575,3.3,86.66,83.83,86.09,85.77,1,2.37,18.04,1.97,25179309817,25179309817,-0.08,0,-8.04,6.61
3504,300155,安居宝,5.14,-0.19,-0.01,93586,48226016.84,1.55,5.2,5.12,5.15,5.15,0.86,2.83,-101.79,2.24,2884710604,1697984027,0,0,-19.56,7.31
1415,868,安凯客车,6.89,1.32,0.09,317161,216466134.5,2.06,6.9,6.76,6.85,6.8,1.04,4.32,-905.94,7.66,6473256524,5052632800,0,0.15,16.19,35.1
5134,300617,安靠智电,33.34,-2.49,-0.85,35828,120864643.3,3.39,34.46,33.3,34.37,34.19,0.81,2.55,30.77,1.97,5579787601,4687325144,-0.06,0.03,21.81,15.72
1381,300286,安科瑞,24.6,1.36,0.33,63705,155681657.5,4.61,24.95,23.83,24.47,24.27,0.6,3.63,25,3.81,5282016675,4319105615,-0.04,0.12,18.9,19.71
1144,300009,安科生物,9,1.69,0.15,339938,305683516.8,4.18,9.19,8.82,8.96,8.85,1.93,2.78,19.14,3.99,15052982922,10995301881,-0.22,-0.11,-2.17,5.39
3403,300866,安克创新,100.12,-0.12,-0.12,28853,289700609.6,2.1,101.71,99.6,100.5,100.24,0.58,0.97,27.12,6.43,53204846893,29675753823,0.04,-0.03,12.14,2.54
1840,300370,安控科技,3.37,0.9,0.03,448897,153226271.1,4.19,3.49,3.35,3.35,3.34,1.25,3.39,-114.45,9,5275317878,4464735145,0,0.3,-19.95,6.65
524,300218,安利股份,17.17,3.25,0.54,86581,148393905.2,5.23,17.46,16.59,16.6,16.63,1.69,4,18.6,2.69,3725666790,3713465685,-0.06,-0.06,5.27,11.49
824,301042,安联锐视,39,2.31,0.88,20119,77794817.94,2.75,39.05,38,38.18,38.12,1.34,2.95,27.1,2.61,2719804503,2655308253,0.28,-0.03,-2.21,8.36
3447,603350,安乃达,37.77,-0.16,-0.06,27198,103885485,3.7,38.88,37.48,37.9,37.83,0.65,9.38,38.81,3.46,4396994550,1095330000,-0.03,-0.03,2.89,5.06
5324,2875,安奈儿,13.83,-5.01,-0.73,211748,294433053.9,4.53,14.19,13.53,14,14.56,1.35,11.61,-28.42,3.96,2945857380,2522871006,0.07,0,-11.12,6.71
3737,2235,安妮股份,5.77,-0.35,-0.02,273704,158847026,1.9,5.87,5.76,5.81,5.79,0.92,4.94,101.6,4.48,3344132079,3194146803,0,0,-12.97,10.11
4354,2978,安宁股份,32.06,-0.84,-0.27,27494,88769316.2,1.64,32.57,32.04,32.5,32.33,0.82,0.92,17.77,1.86,15131998053,9585940000,0,0.03,2.04,12.81
3155,300067,安诺其,6.24,0,0,777843,485437514.5,2.88,6.35,6.17,6.19,6.24,0.62,8.3,440.16,2.82,7203297342,5849898169,0,0,0.32,1.13
4092,301413,安培龙,107.09,-0.61,-0.66,28149,298054552.1,5.98,109.4,102.96,106.01,107.75,0.6,4.89,126.66,8.87,10537868574,6159810482,0.07,0.08,73.28,100.13
4428,600298,安琪酵母,35.96,-0.91,-0.33,92913,335501586,3.11,36.98,35.85,36.49,36.29,1.33,1.09,24.58,2.99,31236462369,30727671521,-0.11,-0.17,-3.26,-0.25
1391,300380,安硕信息,55.71,1.35,0.74,282326,1541853647,5.77,56,52.83,54.92,54.97,3.26,22.17,1152.87,20.79,7712439476,7095980081,-0.23,-0.13,-15.22,17.95
1664,600408,安泰集团,1.93,1.05,0.02,313594,60888294,4.19,1.98,1.9,1.91,1.91,1.11,3.11,-4.85,1.25,1943124000,1943124000,0,-0.52,-32.52,-5.85
