代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-04-19 11:01:37
000848,承德露露,0.16851168511685105,16.37,食品饮料,-1.58
603233,大参林,0.16194865042791304,15.23,医药商业,-3.29
002852,道道全,0.18379685610640867,21.31,食品饮料,-3.47
300749,顶固集创,0.18195718654434256,-114.03,装修建材,-1.03
605499,东鹏饮料,0.24783362218370888,36.14,食品饮料,-4.25
301331,恩威医药,0.21145564168819986,88.13,中药,0.7
002210,飞马国际,0.1628959276018099,142.12,环保行业,1.19
600936,广西广电,0.1625,-7.63,文化传媒,-3.76
002988,豪美新材,0.21198156682027658,27.62,有色金属,-0.82
002104,恒宝股份,0.17359050445103855,41.87,通信设备,-1.42
603112,华翔股份,0.21212121212121218,13.61,家电行业,0.85
003043,华亚智能,0.19365679479101028,52.5,通用设备,-2.34
002791,坚朗五金,0.18104982206405695,184.13,装修建材,-1.13
003000,劲仔食品,0.2241962774957699,19.42,食品饮料,-3.11
300989,蕾奥规划,0.20405576679340942,-88.67,工程咨询服务,3.49
300945,曼卡龙,0.18761726078799248,31.31,珠宝首饰,-3.63
600547,山东黄金,0.25039432176656157,41.45,贵金属,-1.07
001331,胜通能源,0.22324414715719063,80.97,物流行业,-1.44
601107,四川成渝,0.16089613034623218,9.89,铁路公路,-0.35
300144,宋城演艺,0.15610859728506796,18.27,旅游酒店,-3.13
300650,太龙股份,0.27190605239385723,65.03,光学光电子,-1.0
002254,泰和新材,0.23971915747241712,44.72,化纤行业,3.87
300765,新诺威,0.24999999999999983,284.66,食品饮料,1.92
000902,新洋丰,0.17255892255892247,10.87,化肥行业,0.07
002294,信立泰,0.20649263721552874,50.13,化学制药,1.58
430017,星昊医药,0.2547169811320754,16.07,化学制药,-2.06
000893,亚钾国际,0.18410596026490075,34.93,化肥行业,-0.98
603939,益丰药房,0.18274318274318269,20.35,医药商业,-0.98
000753,漳州发展,0.2408906882591092,72.13,汽车服务,-0.49
301092,争光股份,0.22314049586776868,32.47,化学制品,-3.51
002891,中宠股份,0.26933477555435376,32.78,农牧饲渔,0.3
603565,中谷物流,0.16216216216216217,13.31,物流行业,0.1
600489,中金黄金,0.18480000000000005,18.33,贵金属,-0.96
600872,中炬高新,0.15376458112407224,22.23,食品饮料,-2.02
600961,株冶集团,0.24366706875753938,13.09,有色金属,6.07
603057,紫燕食品,0.2526150627615062,17.91,食品饮料,-0.38
