代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-08-23 21:45:43
002747,埃斯顿,0.16857142857142854,416.37,未知行业,1.13,
002813,路畅科技,0.1338786052518295,-33.36,未知行业,0.15,
002836,新宏泽,0.07403545359749748,36.24,未知行业,-1.08,
002863,今飞凯达,0.09001956947162425,32.33,未知行业,-0.73,
002870,香山股份,0.0640024038461537,50.5,未知行业,-0.09,
002876,三利谱,0.06503442999234886,40.3,未知行业,0.0,
002902,铭普光磁,0.12333965844402285,-37.63,未知行业,0.56,
002903,宇环数控,0.08851674641148333,260.64,未知行业,0.95,
002931,锋龙股份,0.11309904153354641,114.63,未知行业,-0.7,
002930,宏川智慧,0.11559139784946229,66.71,未知行业,-0.49,
002949,华阳国际,0.08504398826979473,289.43,未知行业,-1.22,
002957,科瑞技术,0.0717274357441721,42.04,未知行业,0.11,
002963,豪尔赛,0.0661538461538461,-30.1,未知行业,-0.3,
002968,新大正,0.05322128851540602,18.63,未知行业,-1.24,
002996,顺博合金,0.07639836289222368,14.61,未知行业,-1.03,
003005,竞业达,0.08362218370883896,-66.42,未知行业,1.0,
300024,机器人,0.23741859088217868,-160.4,未知行业,1.98,
300026,红日药业,0.05097087378640776,53.16,未知行业,0.0,
300050,世纪鼎利,0.2251773049645391,213.75,未知行业,2.88,
300062,中能电气,0.06654343807763391,-59.42,未知行业,-1.04,
300063,天龙集团,0.1295641931684334,124.2,未知行业,1.73,
300094,国联水产,0.09183673469387764,196.5,未知行业,-1.87,
300099,尤洛卡,0.0793871866295265,72.52,未知行业,1.07,
300106,西部牧业,0.09922346850733393,-66.87,未知行业,0.08,
300136,信维通信,0.14351851851851852,79.58,未知行业,-0.34,
300171,东富龙,0.1179815209665956,146.36,未知行业,-2.16,
300176,鸿特科技,0.0721357850070721,84.68,未知行业,-0.8,
300182,捷成股份,0.11992945326278655,31.34,未知行业,1.15,
300201,海伦哲,0.08550185873605948,34.85,未知行业,-0.17,
300200,高盟新材,0.10196078431372559,31.16,未知行业,0.82,
300213,佳讯飞鸿,0.2123212321232123,-62.68,未知行业,1.22,
300221,银禧科技,0.1630057803468208,49.74,未知行业,-1.0,
300222,科大智能,0.11810261374636986,105.36,未知行业,0.89,
300235,方直科技,0.10804224207961008,127.88,未知行业,0.23,
300247,融捷健康,0.19607843137254896,31.2,未知行业,-0.21,
300275,梅安森,0.13629518072289162,78.45,未知行业,-1.61,
300281,金明精机,0.1458607095926413,247.14,未知行业,-1.83,
300320,海达股份,0.1544715447154471,32.06,未知行业,-1.14,
300327,中颖电子,0.10178217821782179,113.56,未知行业,1.22,
300353,东土科技,0.13794772507260414,-70.29,未知行业,1.11,
300354,东华测试,0.11997940267765181,38.84,未知行业,0.61,
300389,艾比森,0.06923076923076928,31.38,未知行业,-0.32,
300387,富邦科技,0.07258938244853737,22.97,未知行业,-1.72,
300390,天华新能,0.07804632426988926,1324.35,未知行业,0.68,
300407,凯发电气,0.12172284644194764,396.97,未知行业,-0.93,
300428,立中集团,0.09611111111111113,19.15,未知行业,0.15,
300427,红相股份,0.1462639109697933,58.14,未知行业,-1.8,
300461,田中精机,0.10620347394540947,-107.5,未知行业,-1.21,
300471,厚普股份,0.07768744354110202,187.17,未知行业,-0.76,
