代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-04-04 15:20:33
603325,博隆技术,0.15663234403391893,26.04,通用设备,0.72
603233,大参林,0.15586206896551735,15.23,医药商业,0.36
001328,登康口腔,0.19860917941585535,44.41,美容护理,-2.97
300200,高盟新材,0.18915801614763558,25.85,化学制品,-2.52
002653,海思科,0.27142857142857135,76.49,化学制药,5.64
300199,翰宇药业,0.29635761589403975,-245.52,化学制药,1.36
605011,杭州热电,0.18744473916887702,45.05,公用事业,2.47
605009,豪悦护理,0.17571964956195232,18.44,美容护理,0.36
600276,恒瑞医药,0.16798196166854557,48.14,化学制药,0.37
300726,宏达电子,0.23976083707025397,45.87,电子元件,-0.55
301105,鸿铭股份,0.18770226537216844,312.85,专用设备,-0.7
301601,惠通科技,0.20261239368165254,41.15,专用设备,2.14
603678,火炬电子,0.20639534883720936,61.34,电子元件,0.05
300841,康华生物,0.16903979554581974,15.05,生物制品,2.79
300989,蕾奥规划,0.2005551700208189,-88.67,工程咨询服务,3.84
002734,利民股份,0.21398747390396666,56.7,农药兽药,5.22
002234,民和股份,0.15878787878787884,-10.94,农牧饲渔,2.96
603093,南华期货,0.17573221757322188,18.16,多元金融,-0.59
300004,南风股份,0.21666666666666665,60.22,专用设备,6.78
002629,仁智股份,0.23613963039014363,-154.44,采掘行业,-0.17
301231,荣信文化,0.2506420133538779,-58.63,文化传媒,0.92
002961,瑞达期货,0.1919831223628691,19.27,多元金融,3.88
603193,润本股份,0.17271268057784922,40.57,美容护理,2.11
300960,通业科技,0.15846286701208973,59.83,交运设备,6.76
603983,丸美生物,0.18884387659707058,46.82,美容护理,-0.51
600505,西昌电力,0.16213592233009708,603.14,电力行业,4.54
000997,新 大 陆,0.22418032786885256,27.24,互联网服务,-1.69
300381,溢多利,0.15555555555555556,65.23,化学制药,8.33
002014,永新股份,0.1620057859209259,16.12,包装材料,-2.99
001914,招商积余,0.16539196940726564,15.04,房地产服务,0.0
000733,振华科技,0.21230448383733053,35.15,电子元件,3.93
603057,紫燕食品,0.15671641791044758,17.91,食品饮料,0.45
