,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,行业
0,1,300002,神州泰岳,9.42,13.63,1.13,2215561.0,1987753236.96,18.34,9.66,8.14,8.31,8.29,12.55,33.71,3.82,游戏
1,2,002602,世纪华通,6.02,10.05,0.55,4936393.0,2876703248.6,9.51,6.02,5.5,5.67,5.47,7.18,48.78,1.39,游戏
2,3,603444,吉比特,476.76,10.0,43.34,17261.0,800698535.0,7.98,476.76,442.17,442.17,433.42,2.4,23.45,8.61,游戏
3,4,300494,盛天网络,29.86,9.14,2.5,238518.0,685018313.73,11.29,29.99,26.9,27.52,27.36,11.29,31.98,5.4,游戏
4,5,300459,汤姆猫,8.25,7.7,0.59,6395041.0,4995257583.9,15.27,8.46,7.29,7.58,7.66,21.31,54.33,7.55,游戏
5,6,002174,游族网络,13.05,7.5,0.91,348965.0,443606876.39,8.73,13.08,12.02,12.2,12.14,3.82,121.08,2.36,游戏
6,7,002555,三七互娱,28.45,7.08,1.88,672596.0,1856355495.12,8.84,28.5,26.15,26.65,26.57,4.11,20.97,5.44,游戏
7,8,002517,恺英网络,12.11,6.32,0.72,882786.0,1035540626.77,12.2,12.34,10.95,11.23,11.39,4.63,21.39,5.98,游戏
8,9,300299,富春股份,8.13,6.14,0.47,667986.0,531040866.02,9.14,8.27,7.57,7.75,7.66,10.32,173.07,10.21,游戏
9,10,300315,掌趣科技,4.32,5.37,0.22,1132972.0,477446369.57,6.83,4.34,4.06,4.11,4.1,4.35,61.19,2.55,游戏
10,11,002624,完美世界,17.02,5.32,0.86,793090.0,1321686897.24,6.68,17.08,16.0,16.14,16.16,4.34,17.17,3.54,游戏
11,12,300031,宝通科技,20.73,5.28,1.04,248500.0,506551245.72,6.7,20.92,19.6,19.79,19.69,7.2,63.55,2.13,游戏
12,13,300148,天舟文化,3.91,5.11,0.19,520592.0,199710597.0,5.91,3.93,3.71,3.75,3.72,6.71,235.38,2.18,游戏
13,14,600892,大晟文化,5.64,4.44,0.24,106234.0,58718940.0,5.93,5.67,5.35,5.38,5.4,1.9,127.93,17.66,游戏
14,15,002425,凯撒文化,6.18,4.39,0.26,507082.0,307711832.11,6.42,6.23,5.85,5.99,5.92,5.3,-59.03,1.2,游戏
15,16,300043,星辉娱乐,3.53,3.82,0.13,468589.0,162833906.0,5.29,3.55,3.37,3.41,3.4,5.0,-66.88,2.14,游戏
16,17,300533,冰川网络,39.2,3.79,1.43,45004.0,173331487.63,5.9,39.44,37.21,37.76,37.77,4.23,44.55,3.38,游戏
17,18,600715,文投控股,2.51,3.72,0.09,350715.0,86645817.0,4.96,2.52,2.4,2.44,2.42,1.89,-11.28,2.54,游戏
18,19,300051,三五互联,11.53,3.41,0.38,107875.0,122085558.0,5.65,11.58,10.95,11.06,11.15,2.95,-153.02,20.61,游戏
19,20,002558,巨人网络,13.18,3.29,0.42,879573.0,1136139970.2,7.76,13.34,12.35,12.71,12.76,4.39,25.55,2.18,游戏
20,21,300467,迅游科技,14.44,3.29,0.46,84721.0,120538963.99,5.08,14.52,13.81,14.08,13.98,5.21,972.13,4.93,游戏
